title,brand,description,price/currency,price/value,stars,reviewsCount
SOJOS Polarized Sunglasses for Women and Men,SOJOS,,$,13.99,4.4,34615.0
YDAOWKN Classic Vintage Aviator Sunglasses for Women Men Large Frame Retro 70s Sunglasses UV400,YDAOWKN,,,,4.4,5685.0
"FEIDUSUN Sunglasses Men Polarized Sunglasses for Mens and Womens,Black Retro Sun Glasses Driving Fishing UV Protection",FEIDUSUN,,$,9.99,4.5,1765.0
"KleenGuard™ V30 Nemesis™ Safety Glasses (25688), with Mirror Coating, Smoke Lenses, Black Frame, Unisex Sunglasses for Men and Women (Qty 12)",JACKSON SAFETY,"KleenGuard™ Personal Protective Equipment (PPE) enables rather than inhibits – allowing for maximum productivity and safety for you and your employees. Giving your employees what they need to do their job safely and effectively is a top priority of any business owner. KleenGuard™ Nemesis Safety Eyewear's stylish good looks and durable, lightweight construction are just some of the reasons why millions of people wear them for protection both at work and at home. Nemesis Safety Glasses have polycarbonate lenses that provide 99.9% UVA/ UVB/UVC protection to help prevent eye damage like cataracts, retinal damage, and other conditions that can cause temporary vision loss., The wraparound frame has a base curve of 8 that extends the range of peripheral protection, as well as soft touch temples for comfort. The Nemesis safety glasses have a patented nose piece designed to be extremely flexible, to channel sweat away from the eyes, and to help prevent slippage down the nose – all for long-term comfort. Each pair of KleenGuard™ Nemesis safety glasses come with a neck cord for securing them, so that the glasses are ready to protect at a moment's notice. The safety eyewear is manufactured to comply with the ANSI / ISEA Z87.1+ standard for personal eye protection. Both men and women will find these stylish glasses to be comfortable and functional for construction, manufacturing, gun shooting / shooting range, and a host of other industries. Remember: comfort and style drive compliance, so it pays to provide comfortable designer glasses that your staff will be proud to wear. Making the right Personal Protection choice is difficult. Perform with distinction with KleenGuard™ Personal Protective Equipment (PPE).",$,41.73,4.8,1982.0
STORYCOAST Polarized Sports Sunglasses for Men Women Unbreakable Frame Cycling Fishing Driving,STORYCOAST,,$,22.95,4.4,5480.0
SOJOS Retro Oversized Square Polarized Sunglasses for Women and Men Vintage Shades UV400 Classic Large Metal Sun Glasses,SOJOS,,$,14.16,4.6,6913.0
"KWHZXGYY Sunglasses Men Polarized Sunglasses for Mens and Womens,Black Retro Sun Glasses Driving Fishing UV400 Protection",KWHZXGYY,,$,8.99,4.5,671.0
Dollger Oversized Square Sunglasses for Women Big Large Wide Fashion Shades for Men 100% UV Protection Unisex,Dollger,,,,4.5,7496.0
SOJOS Oversized Square Cateye Polarized Sunglasses for Women Men Big Trendy Sunnies,SOJOS,,,,4.6,12600.0
DEMIKOS Sunglasses Men Polarized Sunglasses for Womens Trendy Retro Mirror Lens for Driving Fishing UV400 Protection,DEMIKOS,,,,4.5,5340.0
FAGUMA Polarized Sports Sunglasses For Men Cycling Driving Fishing 100% UV Protection,FAGUMA,,$,15.87,4.4,10800.0
KUGUAOK Polarized Sports Sunglasses for Men Driving Cycling Fishing Sun Glasses 100% UV Protection Goggles,KUGUAOK,,,,4.2,8976.0
FEISEDY Oversized Sunglasses Mens Womens Flat Top Square Trendy Visor Shades UV400 B2470,FEISEDY,,,,4.5,10473.0
"Aqulius Bulk Tinted Safety Glasses (Protective Shaded Safety Sunglasses For Men & Women) UV Resistant, ANSI Z28.1",Aqulius,"Enhance your vision safety with our top-tier safety glasses. Crafted for superior eye protection, these glasses shield against impact, scratches, and harmful UV rays. Perfect for construction work, outdoor activities, and general eye safety, our safety glasses feature robust polycarbonate lenses equipped with an advanced anti-fog coating. They provide 99.9% UV protection, ensuring your eyes are safe under most conditions. Our safety glasses sunglasses are not just functional but also fashionable, with stylish tinted and dark lens options that cater to every preference. The lightweight frame offers comfort without compromising on safety, making them suitable for extended wear. These safty glasses are designed as lentes para trabajo de hombre, ensuring durability and reliability in demanding work environments. Available in bulk safety glasses packs, they are an ideal choice for teams and individuals alike. Whether you choose the dark safety glasses for men, the shaded safety glasses for men, or the classic safety glasses black, you’re guaranteed a product that merges safety with style. Each pair in the safety glasses pack is scratch-resistant, ensuring long-lasting clarity and protection. Aqulius safety glasses, known for their high standards in safety glasses construction. Don't compromise on eye safety; choose our safety glasses tinted for maximum protection and style. Order now and experience the ultimate in eye safety and comfort!",,,4.6,2465.0
INFI Fishing Polarized Sunglasses for Men Driving Running Golf Sports Glasses Square UV Protection Designer Style Unisex,INFI,"HD Fishing Sunglasses for Men/Women ***Recommended use: Fishing, driving, hiking, running and leisure. How Polarized lens technology work? Light from the sun will either be absorbed or reflected horizontally, diagonally or vertically. Sunlight that is reflected off horizontal surfaces such as roads or water cause us the most problems with our vision. This reflected sunlight is called blinding glare. It can cause common problems such as discomfort, squinting, eye fatigue, headaches and sight disability. Polarized lenses contain a built-in, laminated filter that only permits vertical light to pass through, glare off of horizontal light. Feature the industry’s most advanced technology and world class premium polarized film, our polarized lens creates an amazing difference ***UV grade----100% of UV400 protection ***High polarized----more than 99.5% polarizing effect ***Raw materials----imported TAC from Germany(cellulose triacetate) ***High weathering-resistance ----Quality perfoms stably at high temperatures,at low temperatures,and in humid environments ***High wear-resistance----Uses unique reinforcement materials and processing flow to enhance scratch-resistance effect ***High definition----adopts high-tech TAC film,which is high definition and the same grade as TFT-LCD. Fuzzy index of lenses is maintained within 0.6﹪ What You Get? ***Sunglasses * 1 ***Glasses Case * 1 ***Sunglasses Strap * 1 ***Soft Glasses Cloth * 1  ***Soft Microfiber Pouch * 1 ***Exquisite Packaging Carton * 1",$,35.99,4.5,6429.0
livho Sunglasses for Men Women Aviator Polarized Metal Mirror UV 400 Lens Protection,livho,,$,9.99,4.4,20710.0
AEVOGUE Polarized Sunglasses For Men Rectangle Metal Frame Retro Sun Glasses AE0395,AEVOGUE,"ABOUT AEVOGUE SUNGLASSES Different eyewear should bring you different emotions, and match your personality and lifestyle‘The best’ doesn’t always mean the most expensive - everyone has their own preference! Beauty follows you hereGreat fashion design AEVOGUE sunglasses for ski, golf, cycling, running, fishing, driving, bike, cricket, motorcycle and all outdoor sports activitiesUV protection DISCOVER THE AEVOGUE SUNGLASSES DIFFERENCEBest Customer Service CareMeet our friendly customer service team focused on providing the best shopping experience and making every customer happy. Quality ControlWe care about how you feel about our product. Every piece of eyewear is given extra attention for quality and packaged with care before it leaves our warehouse. Price ConsciousWe are a family owned company who believes you can wear any style at a fraction of the price without compromising quality. FEATURES AND BENEFITS Reduce surface reflectionsDurable and lightweight frameEasy to cleanScratch resistant lensUV protection lensFlattering lines and aesthetically pleasing appearanceFashion and stylish design cool sunglasses for mens and womensCARETo avoid damage, never clean your sunglasses with paper towels or clothing, and also avoid using household detergents or soaps. While a few mild soaps don't harm lenses, today's extra strength soaps are powerful enough to slowly disintegrate lens coatings.",,,4.4,1473.0
Micheal Kors MK2024 Sunglasses,Michael Kors,,$,41.16,4.7,6526.0
TOREGE Polarized Sports Sunglasses for Men and Women Cycling Running Golf Fishing Sunglasses TR26,TOREGE,,,,4.3,5732.0
"Ray-Ban RB4184 Square Sunglasses, Black/Green, 54 mm",Ray-Ban,,,,4.5,900.0
Couple Butt Sets Plug Toy Anales Sex Games Toys Plug Expander Relaxing Tool for Men Women Sunglasses B-GL079,Generic,Couple Butt Sets Plug Toy Anales Sex Games Toys Plug Expander Relaxing Tools for Men Couples Women Sunglasses,,,4.8,14.0
